topic_idx 0,syrup,maple,water,shack,inbox,temperature,card,discussion,flavor,sugar,taste,reservation,information,default,image
topic_idx 1,maple,http,com,soda,pic,twitter,soap,syrup,https,location,sugar,www,water,scent,body
topic_idx 2,syrup,site,honor,maple,use,privacy,policy,farm,material,permission,acceptance,property,water,addition,road
topic_idx 3,water,maple,menu,meal,syrup,mission,website,cappuccino,site,night,sugar,use,privacy,advertising,day
topic_idx 4,sap,beauty,water,maple,door,team,entrepreneur,plant,business,face,beverage,syrup,product,idea,dozen
topic_idx 5,maple,cart,schedule,log,license,address,password,account,trading,product,creation,logo,simple,delivery,syrup
topic_idx 6,water,page,http,link,version,sugar,fl,www,la,address,maple,eau,case,contest,rule
topic_idx 7,water,culture,stock,maple,world,time,health,cheese,industry,market,line,course,year,engine,product
topic_idx 8,water,syrup,maple,sap,cup,product,sugar,flavor,taste,coconut,food,kale,health,mixture,butter
topic_idx 9,industry,syrup,food,error,manufacturing,maple,errordocument,water,request,decline,revenue,flavor,sugar,soda,majority
